,year,geo_type_name,borough,geography,geography_id,adults_12mo_asthma_age_adjusted_percent,adults_12mo_asthma_number,adults_12mo_asthma_percent
388,2016,neighborhood (uhf 34),bronx, south bronx,105106107,8.7,21000.0,8.1
389,2017,neighborhood (uhf 34),bronx, south bronx,105106107,7.0,30000.0,7.4
390,2003,neighborhood (uhf 34),queens, southeast queens,409,2.2,3000.0,2.3
391,2004,neighborhood (uhf 34),queens, southeast queens,409,2.9,4000.0,2.9
392,2006,neighborhood (uhf 34),queens, southeast queens,409,4.4,7000.0,4.3
393,2007,neighborhood (uhf 34),queens, southeast queens,409,3.5,5000.0,3.4
394,2008,neighborhood (uhf 34),queens, southeast queens,409,,,
395,2009,neighborhood (uhf 34),queens, southeast queens,409,2.5,4000.0,2.4
396,2010,neighborhood (uhf 34),queens, southeast queens,409,2.1,3000.0,2.0
397,2011,neighborhood (uhf 34),queens, southeast queens,409,,,
398,2012,neighborhood (uhf 34),queens, southeast queens,409,,,
399,2013,neighborhood (uhf 34),queens, southeast queens,409,2.9,5000.0,3.2
400,2014,neighborhood (uhf 34),queens, southeast queens,409,0.8,1000.0,0.9
401,2016,neighborhood (uhf 34),queens, southeast queens,409,,,
402,2017,neighborhood (uhf 34),queens, southeast queens,409,,,
403,2003,neighborhood (uhf 34),staten island, southern si,503504,2.3,4000.0,2.4
404,2004,neighborhood (uhf 34),staten island, southern si,503504,5.9,11000.0,5.7
405,2006,neighborhood (uhf 34),staten island, southern si,503504,2.9,6000.0,3.1
406,2007,neighborhood (uhf 34),staten island, southern si,503504,4.3,9000.0,4.4
407,2008,neighborhood (uhf 34),staten island, southern si,503504,6.9,15000.0,7.4
408,2009,neighborhood (uhf 34),staten island, southern si,503504,2.8,6000.0,3.1
409,2010,neighborhood (uhf 34),staten island, southern si,503504,3.9,8000.0,3.9
410,2011,neighborhood (uhf 34),staten island, southern si,503504,2.6,6000.0,3.1
411,2012,neighborhood (uhf 34),staten island, southern si,503504,,,
412,2013,neighborhood (uhf 34),staten island, southern si,503504,3.0,6000.0,2.7
413,2014,neighborhood (uhf 34),staten island, southern si,503504,6.2,13000.0,5.8
414,2016,neighborhood (uhf 34),staten island, southern si,503504,6.4,10000.0,6.0
415,2017,neighborhood (uhf 34),staten island, southern si,503504,1.4,3000.0,1.3
416,2003,neighborhood (uhf 34),queens, southwest queens,407,3.2,5000.0,2.9
417,2004,neighborhood (uhf 34),queens, southwest queens,407,3.9,8000.0,4.1
418,2006,neighborhood (uhf 34),queens, southwest queens,407,1.7,3000.0,1.7
419,2007,neighborhood (uhf 34),queens, southwest queens,407,6.9,14000.0,6.9
420,2008,neighborhood (uhf 34),queens, southwest queens,407,4.4,11000.0,5.2
421,2009,neighborhood (uhf 34),queens, southwest queens,407,8.2,17000.0,8.6
422,2010,neighborhood (uhf 34),queens, southwest queens,407,0.9,2000.0,0.9
423,2011,neighborhood (uhf 34),queens, southwest queens,407,3.9,7000.0,3.7
424,2012,neighborhood (uhf 34),queens, southwest queens,407,4.9,10000.0,5.1
425,2013,neighborhood (uhf 34),queens, southwest queens,407,1.6,3000.0,1.6
426,2014,neighborhood (uhf 34),queens, southwest queens,407,4.0,9000.0,4.2
427,2016,neighborhood (uhf 34),queens, southwest queens,407,2.8,5000.0,2.7
428,2017,neighborhood (uhf 34),queens, southwest queens,407,2.9,6000.0,3.0
429,2003,neighborhood (uhf 34),brooklyn, sunset park,205,5.9,5000.0,5.4
430,2004,neighborhood (uhf 34),brooklyn, sunset park,205,3.2,3000.0,3.0
431,2006,neighborhood (uhf 34),brooklyn, sunset park,205,5.4,5000.0,5.4
432,2007,neighborhood (uhf 34),brooklyn, sunset park,205,,,
433,2008,neighborhood (uhf 34),brooklyn, sunset park,205,,,
434,2009,neighborhood (uhf 34),brooklyn, sunset park,205,2.7,2000.0,2.4
435,2010,neighborhood (uhf 34),brooklyn, sunset park,205,,,
436,2011,neighborhood (uhf 34),brooklyn, sunset park,205,,,
437,2012,neighborhood (uhf 34),brooklyn, sunset park,205,1.7,,
438,2013,neighborhood (uhf 34),brooklyn, sunset park,205,1.5,1000.0,1.5
439,2014,neighborhood (uhf 34),brooklyn, sunset park,205,0.7,1000.0,0.7
440,2016,neighborhood (uhf 34),brooklyn, sunset park,205,1.6,1000.0,1.6
441,2017,neighborhood (uhf 34),brooklyn, sunset park,205,2.9,3000.0,2.8
442,2003,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,4.5,6000.0,3.5
443,2004,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,5.1,10000.0,5.0
444,2006,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,6.8,12000.0,6.5
445,2007,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,6.4,13000.0,6.7
446,2008,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,4.2,7000.0,3.8
447,2009,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,3.3,6000.0,3.0
448,2010,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,4.6,8000.0,4.1
449,2011,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,2.1,4000.0,1.9
450,2012,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,5.3,11000.0,5.4
451,2013,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,5.2,11000.0,5.5
452,2014,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,3.8,8000.0,3.8
453,2016,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,1.0,2000.0,1.0
454,2017,neighborhood (uhf 34),manhattan, union square-lower manhattan,309310,5.1,11000.0,5.0
455,2003,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,4.5,11000.0,4.5
456,2004,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,2.9,9000.0,2.9
457,2006,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,8.4,22000.0,7.1
458,2007,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,3.1,10000.0,3.3
459,2008,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,4.2,13000.0,4.1
460,2009,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,2.5,,
461,2010,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,1.2,4000.0,1.2
462,2011,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,1.8,6000.0,2.0
463,2012,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,2.1,7000.0,2.3
464,2013,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,4.7,15000.0,4.8
465,2014,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,2.8,9000.0,3.0
466,2016,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,6.2,16000.0,6.4
467,2017,neighborhood (uhf 34),manhattan, upper east side-gramercy,305307,4.2,13000.0,4.0
468,2003,neighborhood (uhf 34),manhattan, upper west side,304,3.8,6000.0,3.5
469,2004,neighborhood (uhf 34),manhattan, upper west side,304,4.1,8000.0,4.0
470,2006,neighborhood (uhf 34),manhattan, upper west side,304,9.8,13000.0,6.8
471,2007,neighborhood (uhf 34),manhattan, upper west side,304,3.3,6000.0,3.3
472,2008,neighborhood (uhf 34),manhattan, upper west side,304,6.0,14000.0,7.1
473,2009,neighborhood (uhf 34),manhattan, upper west side,304,1.8,3000.0,1.6
474,2010,neighborhood (uhf 34),manhattan, upper west side,304,8.3,14000.0,7.5
475,2011,neighborhood (uhf 34),manhattan, upper west side,304,,,
476,2012,neighborhood (uhf 34),manhattan, upper west side,304,3.0,6000.0,3.2
477,2013,neighborhood (uhf 34),manhattan, upper west side,304,1.6,3000.0,1.7
478,2014,neighborhood (uhf 34),manhattan, upper west side,304,4.3,7000.0,4.1
479,2016,neighborhood (uhf 34),manhattan, upper west side,304,,,
480,2017,neighborhood (uhf 34),manhattan, upper west side,304,1.1,2000.0,1.0
481,2003,neighborhood (uhf 34),manhattan, washington heights,301,3.4,5000.0,3.1
482,2004,neighborhood (uhf 34),manhattan, washington heights,301,5.5,11000.0,5.4
483,2006,neighborhood (uhf 34),manhattan, washington heights,301,4.9,10000.0,5.0
484,2007,neighborhood (uhf 34),manhattan, washington heights,301,3.8,7000.0,3.6
485,2008,neighborhood (uhf 34),manhattan, washington heights,301,5.7,11000.0,5.7
486,2009,neighborhood (uhf 34),manhattan, washington heights,301,2.6,6000.0,3.1
487,2010,neighborhood (uhf 34),manhattan, washington heights,301,4.1,7000.0,3.8
488,2011,neighborhood (uhf 34),manhattan, washington heights,301,,,
489,2012,neighborhood (uhf 34),manhattan, washington heights,301,3.1,6000.0,3.0
490,2013,neighborhood (uhf 34),manhattan, washington heights,301,6.2,12000.0,6.5
491,2014,neighborhood (uhf 34),manhattan, washington heights,301,5.2,11000.0,5.4
492,2016,neighborhood (uhf 34),manhattan, washington heights,301,4.5,5000.0,3.9
493,2017,neighborhood (uhf 34),manhattan, washington heights,301,7.2,16000.0,7.7
494,2003,neighborhood (uhf 34),queens, west queens,402,5.2,16000.0,5.4
495,2004,neighborhood (uhf 34),queens, west queens,402,2.0,8000.0,2.0
496,2006,neighborhood (uhf 34),queens, west queens,402,2.3,9000.0,2.5
497,2007,neighborhood (uhf 34),queens, west queens,402,2.9,11000.0,3.0
498,2008,neighborhood (uhf 34),queens, west queens,402,4.0,15000.0,4.1
499,2009,neighborhood (uhf 34),queens, west queens,402,1.5,4000.0,1.2
500,2010,neighborhood (uhf 34),queens, west queens,402,2.4,8000.0,2.2
501,2011,neighborhood (uhf 34),queens, west queens,402,6.0,21000.0,6.0
502,2012,neighborhood (uhf 34),queens, west queens,402,2.4,9000.0,2.5
503,2013,neighborhood (uhf 34),queens, west queens,402,1.9,7000.0,2.1
504,2014,neighborhood (uhf 34),queens, west queens,402,2.3,8000.0,2.2
505,2016,neighborhood (uhf 34),queens, west queens,402,4.5,14000.0,4.7
506,2017,neighborhood (uhf 34),queens, west queens,402,2.5,10000.0,2.6
507,2003,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,9.5,9000.0,8.1
508,2004,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,10.3,13000.0,10.1
509,2006,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,5.8,8000.0,6.0
510,2007,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,3.6,4000.0,3.1
511,2008,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,3.3,4000.0,3.0
512,2009,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,7.3,9000.0,6.9
513,2010,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,3.9,5000.0,3.7
514,2011,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,4.6,7000.0,4.5
515,2012,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,6.2,9000.0,6.4
516,2013,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,7.0,11000.0,7.1
517,2014,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,6.3,9000.0,5.7
518,2016,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,5.2,7000.0,4.8
519,2017,neighborhood (uhf 34),brooklyn, williamsburg - bushwick,211,2.2,3000.0,2.0
